defaulted_loan,client_id
True,VLCO8303182181894
False,RBBZ3079011934087
False,TKMW7833478952979
False,EDVH7318610024923
False,LRZC3795050474041
False,IMTT1858540050892
False,XPUC7658938706678
False,BIXV6291556018737
False,VDXN8273572456410
False,XBHK9765484868986
False,IPLR5442065774982
False,OHEG6036162636039
False,PNVV7342872528000
False,UYIG8537822767106
False,CKLW8388488699117
True,RSZG1901904021584
False,ABQI6105534971320
False,BSWV9173093628731
False,ZKLB6917557397868
False,QTUX4049245083521
False,PHFI6524517776542
False,EKON0194798088974
False,VPYD0253727504197
False,BTOC6379254118298
False,HYEG6309225484887
False,NQJC2539935480900
False,PDGY7968417740849
True,NQVS3383725658926
False,QOFS4312024236957
True,FYFZ6373786797514
False,QYDP8098655114532
False,RCQM1804687480182
False,IPAZ7495578977355
False,TUMY5326608668358
False,ZXPJ5125122742395
False,EHCS0840323423749
False,LMJD9740935526304
False,PWNZ4553171358066
False,DBNI0879565481074
False,PTZB0464880004856
False,AQQV9988003871709
False,BYCY1794387369166
False,XGVS3714947108400
False,BCBL0543623506244
True,QMCM0210601376924
True,HSVQ6553308133152
False,MJKI1868091716744
False,AKIQ7541885215305
False,YHYE7668331051413
False,NXED0478597282307
False,UGAY4665799169113
False,FIKF9879160992053
False,LSZS1594663209773
False,QVZS9051404243644
False,WGMQ6907240021434
False,XYTT5886432309585
False,VZYY6875791968019
False,PXSY9606178203785
False,TQGG6317887082831
False,SPCY9187579260204
False,RTJN5945002421582
False,UJVJ2458087411561
False,QLXC6210830257285
False,XIFT2081507841933
False,ZFHC7470659216906
False,NSBB5086879909096
False,JETA5757546230521
False,NONR5363126967882
False,NKXO7862346412365
False,QKVU7117193100269
False,MHSD3860556819169
False,HMXV1730729227597
False,WBIK7212010579869
False,PZNI9476211940109
True,ZDMZ7832097458533
False,KNTV8487679679899
False,YGZL3525417270797
False,HVLL4641910377827
False,OJXD2883135909482
False,OKFA6189140433358
False,QSIV2659690420779
False,ANCF6092111778860
False,DRSX4113322647556
False,RQFS9228318636341
False,TUYQ5044211479182
False,PYLN9707258892501
False,PRGN9975075734923
False,BYGN5016103102896
False,AYIU6531504656453
False,EFSO0131545354614
False,SWMR2744974179346
False,OTPE3338494284270
False,LQVZ7934479478834
False,KWTL1606711005704
False,LFXD7444952744756
False,GAGR1919915024030
False,OLDW8615060035109
False,ARCZ4139093052306
False,OMLL8489447529802
False,EIGM1903815493264
False,EXWO1145980402953
False,QZYZ1309580682659
False,ULMH1203236327084
False,NVMH5602888814045
False,RNUC2971672224736
False,ZRYG6405544562062
False,UIDH0038567847893
True,EKKU6489457959886
False,DQTG5558873097936
False,PUBE7753812339827
False,MZDY4669570126484
False,RUCN0272683013793
False,VKGX9867602523922
False,RZUD8968714968171
False,IEHC4978673163145
False,XXVD2409075378778
False,HNPM3451981844436
False,CLMS7373480861907
False,DKED1163651987820
False,RXRJ0728122895395
False,SPRA1473226489422
True,WSWH3238988919417
False,NQDD0803237032898
False,HPAP6521690142357
False,LMJJ4507629423223
False,HONI3422584676491
False,WMHH4224215873776
False,NRJR2128720932628
False,TROA6757184747409
False,GKOX5025611101435
False,DBZO0777289402948
False,SRNW3561631588411
False,XSAC1148538113175
False,AANJ1804403565286
False,UVDI4623204635778
False,GZHU6533880800135
True,YOLZ6380724142816
False,JZPJ2833019527074
False,GNPD7312601794411
False,DGSZ4734979461895
False,EXES4480665970159
False,WBCY6825144957770
False,QXBH4315132845420
False,TJYU5945148142200
False,ZCEJ7887665161831
False,IBJM1585746375342
True,UBGN0756414383747
False,HYEY6646178465473
False,OPFP2697878401473
False,OMNN6336912125135
False,XMPB4771157940308
False,JYTH7905896416693
False,REXI6392584795135
False,HQNT5704630818448
False,QCDW1941150304392
False,AVYW8156686796282
False,ZTTO9653146993024
False,KWAN2705906237511
False,LNSN2107375542110
False,FQAM4007264758377
False,OQPV6713055814509
False,UGVQ8543589139791
False,AGJU2606033946788
False,HROL4447672952548
False,HTGR3418149961425
True,LFEC7380867718161
False,JKRL9829567023316
False,YCCP5836177627406
True,IAUK5485860237096
False,LDFC1380707711786
False,PUXO8957601609250
False,AHVT7501028939450
False,KEHT0272739835856
False,QZPS5204274431387
False,TRMR5818460761705
False,PKTP4390455889881
False,COJD8345989655271
False,KUZL3462052402511
False,NTIK4915488743167
False,HGWG3139746847836
False,BQDC1320847637412
False,MPQC3970072512980
False,ZWNX3021500024571
True,KMCL2165203795412
False,JXIE0394903441219
False,DLBO3888198897734
False,JREB9348425947570
False,DZLK3110006650142
False,FYMX6827256170076
True,CDWE0409200834485
False,GNFD6833767670378
False,ZUSQ1173766327446
False,LTDA6150075549623
True,NGCW1290651564240
False,OTQF7317296987811
False,XZHD9970844912587
False,EDAJ6008842020093
False,ZNZS3734592754225
False,PNHS7130222196851
True,UAOH4892265069992
False,VFRW3946399289868
False,XTIB4465938916777
False,QROM1930193955658
False,SAHL9256407764800
True,BQHI1906117837468
False,NMMQ2324665290695
True,XEUZ0816232068733
True,SZKM5216020863089
False,HGLP3929489358829
False,XUJI9806686031616
False,JOQA0821576563910
False,ZHQM3008249834058
False,ZPVO2391050247129
True,LYPE4404058382010
False,IXMM9991443560666
False,WTIA0536276790879
False,YQAI9822877536302
False,FVAD3981100085990
False,WSFQ8758265592910
False,PUXL8967915556589
False,HVXU3359853189476
False,BNGY6524041781924
False,BQOW7643195886805
False,UYXA6086418361461
